timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723892729579,68,Get Single User-0,301,Moved Permanently,Load Configuration 1-12,text,true,,787,122,6,6,http://reqres.in/api/users/2,68,0,23
1723892729648,130,Get Single User-1,200,OK,Load Configuration 1-12,text,true,,1190,122,6,6,https://reqres.in/api/users/2,130,0,73
1723892729388,467,POST method Create User,200,OK,Load Configuration 1-8,text,true,,870,243,7,7,https://reqres.in/api/login,467,0,0
1723892729680,189,Get Single User,200,OK,Load Configuration 1-13,text,true,,1971,244,6,6,https://reqres.in/api/users/2,68,0,26
1723892729680,68,Get Single User-0,301,Moved Permanently,Load Configuration 1-13,text,true,,781,122,6,6,http://reqres.in/api/users/2,68,0,26
1723892729748,121,Get Single User-1,200,OK,Load Configuration 1-13,text,true,,1190,122,6,6,https://reqres.in/api/users/2,121,0,76
1723892729488,420,POST method Create User,200,OK,Load Configuration 1-9,text,true,,870,243,7,7,https://reqres.in/api/login,420,0,0
1723892729780,206,Get Single User,200,OK,Load Configuration 1-14,text,true,,1975,244,7,7,https://reqres.in/api/users/2,88,0,32
1723892729780,88,Get Single User-0,301,Moved Permanently,Load Configuration 1-14,text,true,,785,122,7,7,http://reqres.in/api/users/2,88,0,32
1723892729869,117,Get Single User-1,200,OK,Load Configuration 1-14,text,true,,1190,122,7,7,https://reqres.in/api/users/2,117,0,72
1723892729568,449,POST method Create User,200,OK,Load Configuration 1-10,text,true,,870,243,7,7,https://reqres.in/api/login,449,0,0
1723892729664,399,POST method Create User,200,OK,Load Configuration 1-11,text,true,,870,243,6,6,https://reqres.in/api/login,399,0,0
1723892729881,216,Get Single User,200,OK,Load Configuration 1-15,text,true,,1977,244,6,6,https://reqres.in/api/users/2,87,0,27
1723892729881,87,Get Single User-0,301,Moved Permanently,Load Configuration 1-15,text,true,,787,122,6,6,http://reqres.in/api/users/2,87,0,27
1723892729969,128,Get Single User-1,200,OK,Load Configuration 1-15,text,true,,1190,122,6,6,https://reqres.in/api/users/2,128,0,71
1723892729980,199,Get Single User,200,OK,Load Configuration 1-16,text,true,,1979,244,6,6,https://reqres.in/api/users/2,58,0,19
1723892729980,58,Get Single User-0,301,Moved Permanently,Load Configuration 1-16,text,true,,789,122,6,6,http://reqres.in/api/users/2,58,0,19
1723892730039,140,Get Single User-1,200,OK,Load Configuration 1-16,text,true,,1190,122,6,6,https://reqres.in/api/users/2,140,0,93
1723892729779,456,POST method Create User,200,OK,Load Configuration 1-12,text,true,,870,243,7,7,https://reqres.in/api/login,456,0,0
1723892730081,171,Get Single User,200,OK,Load Configuration 1-17,text,true,,1975,244,6,6,https://reqres.in/api/users/2,65,0,19
1723892730081,65,Get Single User-0,301,Moved Permanently,Load Configuration 1-17,text,true,,785,122,6,6,http://reqres.in/api/users/2,65,0,19
1723892730146,106,Get Single User-1,200,OK,Load Configuration 1-17,text,true,,1190,122,6,6,https://reqres.in/api/users/2,106,0,68
1723892729869,470,POST method Create User,200,OK,Load Configuration 1-13,text,true,,870,243,7,7,https://reqres.in/api/login,470,0,0
1723892729986,408,POST method Create User,200,OK,Load Configuration 1-14,text,true,,870,243,7,7,https://reqres.in/api/login,408,0,0
1723892730181,269,Get Single User,200,OK,Load Configuration 1-18,text,true,,1977,244,6,6,https://reqres.in/api/users/2,81,0,20
1723892730181,81,Get Single User-0,301,Moved Permanently,Load Configuration 1-18,text,true,,787,122,6,6,http://reqres.in/api/users/2,81,0,20
1723892730262,188,Get Single User-1,200,OK,Load Configuration 1-18,text,true,,1190,122,6,6,https://reqres.in/api/users/2,188,0,138
1723892730097,502,POST method Create User,200,OK,Load Configuration 1-15,text,true,,870,243,8,8,https://reqres.in/api/login,502,0,0
1723892730179,486,POST method Create User,200,OK,Load Configuration 1-16,text,true,,870,243,7,7,https://reqres.in/api/login,486,0,0
1723892730252,480,POST method Create User,200,OK,Load Configuration 1-17,text,true,,870,243,7,7,https://reqres.in/api/login,480,0,0
1723892730280,561,Get Single User,200,OK,Load Configuration 1-19,text,true,,1979,244,7,7,https://reqres.in/api/users/2,133,0,90
1723892730280,133,Get Single User-0,301,Moved Permanently,Load Configuration 1-19,text,true,,789,122,7,7,http://reqres.in/api/users/2,133,0,90
1723892730414,427,Get Single User-1,200,OK,Load Configuration 1-19,text,true,,1190,122,7,7,https://reqres.in/api/users/2,427,0,383
1723892730380,492,Get Single User,200,OK,Load Configuration 1-20,text,true,,1979,244,7,7,https://reqres.in/api/users/2,69,0,31
1723892730380,69,Get Single User-0,301,Moved Permanently,Load Configuration 1-20,text,true,,789,122,7,7,http://reqres.in/api/users/2,69,0,31
1723892730450,422,Get Single User-1,200,OK,Load Configuration 1-20,text,true,,1190,122,7,7,https://reqres.in/api/users/2,422,0,353
1723892730450,435,POST method Create User,200,OK,Load Configuration 1-18,text,true,,870,243,8,8,https://reqres.in/api/login,435,0,0
1723892730480,470,Get Single User,200,OK,Load Configuration 1-21,text,true,,1981,244,7,7,https://reqres.in/api/users/2,327,0,118
1723892730480,327,Get Single User-0,301,Moved Permanently,Load Configuration 1-21,text,true,,791,122,7,7,http://reqres.in/api/users/2,327,0,118
1723892730808,142,Get Single User-1,200,OK,Load Configuration 1-21,text,true,,1190,122,7,7,https://reqres.in/api/users/2,142,0,82
1723892730779,200,Get Single User,200,OK,Load Configuration 1-24,text,true,,1981,244,7,7,https://reqres.in/api/users/2,84,0,20
1723892730779,84,Get Single User-0,301,Moved Permanently,Load Configuration 1-24,text,true,,791,122,7,7,http://reqres.in/api/users/2,84,0,20
1723892730864,115,Get Single User-1,200,OK,Load Configuration 1-24,text,true,,1190,122,7,7,https://reqres.in/api/users/2,115,0,76
1723892730580,399,Get Single User,200,OK,Load Configuration 1-22,text,true,,1977,244,7,7,https://reqres.in/api/users/2,261,0,212
1723892730580,261,Get Single User-0,301,Moved Permanently,Load Configuration 1-22,text,true,,787,122,7,7,http://reqres.in/api/users/2,261,0,212
1723892730842,137,Get Single User-1,200,OK,Load Configuration 1-22,text,true,,1190,122,7,7,https://reqres.in/api/users/2,137,0,86
1723892730680,300,Get Single User,200,OK,Load Configuration 1-23,text,true,,1981,244,8,8,https://reqres.in/api/users/2,161,0,112
1723892730680,161,Get Single User-0,301,Moved Permanently,Load Configuration 1-23,text,true,,791,122,8,8,http://reqres.in/api/users/2,161,0,112
1723892730842,138,Get Single User-1,200,OK,Load Configuration 1-23,text,true,,1190,122,8,8,https://reqres.in/api/users/2,138,0,93
1723892730880,185,Get Single User,200,OK,Load Configuration 1-25,text,true,,1973,244,8,8,https://reqres.in/api/users/2,63,0,22
1723892730880,63,Get Single User-0,301,Moved Permanently,Load Configuration 1-25,text,true,,783,122,8,8,http://reqres.in/api/users/2,63,0,22
1723892730943,122,Get Single User-1,200,OK,Load Configuration 1-25,text,true,,1190,122,8,8,https://reqres.in/api/users/2,122,0,86
1723892730979,222,Get Single User,200,OK,Load Configuration 1-26,text,true,,1987,244,10,10,https://reqres.in/api/users/2,97,0,46
1723892730979,97,Get Single User-0,301,Moved Permanently,Load Configuration 1-26,text,true,,797,122,10,10,http://reqres.in/api/users/2,97,0,46
1723892731076,125,Get Single User-1,200,OK,Load Configuration 1-26,text,true,,1190,122,10,10,https://reqres.in/api/users/2,125,0,75
1723892730842,404,POST method Create User,200,OK,Load Configuration 1-19,text,true,,870,243,10,10,https://reqres.in/api/login,404,0,0
1723892731080,170,Get Single User,200,OK,Load Configuration 1-27,text,true,,1979,244,9,9,https://reqres.in/api/users/2,63,0,27
1723892731080,63,Get Single User-0,301,Moved Permanently,Load Configuration 1-27,text,true,,789,122,9,9,http://reqres.in/api/users/2,63,0,27
1723892731144,106,Get Single User-1,200,OK,Load Configuration 1-27,text,true,,1190,122,9,9,https://reqres.in/api/users/2,106,0,65
1723892730873,466,POST method Create User,200,OK,Load Configuration 1-20,text,true,,870,243,10,10,https://reqres.in/api/login,466,0,0
1723892731180,175,Get Single User,200,OK,Load Configuration 1-28,text,true,,1975,244,9,9,https://reqres.in/api/users/2,69,0,23
1723892731180,69,Get Single User-0,301,Moved Permanently,Load Configuration 1-28,text,true,,785,122,9,9,http://reqres.in/api/users/2,69,0,23
1723892731250,105,Get Single User-1,200,OK,Load Configuration 1-28,text,true,,1190,122,9,9,https://reqres.in/api/users/2,105,0,62
1723892730950,429,POST method Create User,200,OK,Load Configuration 1-21,text,true,,870,243,9,9,https://reqres.in/api/login,429,0,0
1723892730979,418,POST method Create User,200,OK,Load Configuration 1-24,text,true,,870,243,9,9,https://reqres.in/api/login,418,0,0
1723892730980,417,POST method Create User,200,OK,Load Configuration 1-23,text,true,,870,243,9,9,https://reqres.in/api/login,417,0,0
1723892730979,434,POST method Create User,200,OK,Load Configuration 1-22,text,true,,870,243,7,7,https://reqres.in/api/login,434,0,0
1723892731281,168,Get Single User,200,OK,Load Configuration 1-29,text,true,,1981,244,6,6,https://reqres.in/api/users/2,58,0,24
1723892731281,58,Get Single User-0,301,Moved Permanently,Load Configuration 1-29,text,true,,791,122,6,6,http://reqres.in/api/users/2,58,0,24
1723892731339,110,Get Single User-1,200,OK,Load Configuration 1-29,text,true,,1190,122,6,6,https://reqres.in/api/users/2,110,0,77
1723892731066,437,POST method Create User,200,OK,Load Configuration 1-25,text,true,,866,243,7,7,https://reqres.in/api/login,437,0,0
1723892731381,170,Get Single User,200,OK,Load Configuration 1-30,text,true,,1981,244,6,6,https://reqres.in/api/users/2,60,0,23
1723892731381,60,Get Single User-0,301,Moved Permanently,Load Configuration 1-30,text,true,,791,122,6,6,http://reqres.in/api/users/2,60,0,23
1723892731442,109,Get Single User-1,200,OK,Load Configuration 1-30,text,true,,1190,122,6,6,https://reqres.in/api/users/2,109,0,65
